tipo,pilar,fecha_publicacion,estado,hook,agitacion,reencuadre,sistema,cta,caption,hashtags,descripcion_visual,formato_produccion,guion,duracion_seg,imagen_url,prompt_imagen
"reel","OBJECION","2026-07-10","borrador","El bot no enfría la atención. Tu WhatsApp desordenado sí.","Un cliente espera 4 horas sin respuesta. Eso enfría. Una respuesta automática en 30 segundos que avisa que ya están viendo su consulta: eso calienta. El problema nunca fue la tecnología. Fue la tardanza.","El sistema no reemplaza la relación. La protege. El vendedor entra a la conversación cuando el lead ya está con información y esperando hablar.","Primero el sistema responde. Después el vendedor convierte. Cada uno hace lo que sabe hacer.","Comentá DEMO si querés ver cómo se ve en la práctica.","El bot no enfría la atención. Tu WhatsApp desordenado sí.\n\nUn cliente espera 4 horas: eso enfría.\nUna respuesta en 30 segundos: eso calienta.\n\nEl sistema no reemplaza la relación. La protege.\n\nEl vendedor entra cuando el lead ya está listo para hablar.\n\n↳ Comentá DEMO y te mostramos cómo funciona en la práctica.","#inmobiliaria|#inmobiliariasargentina|#automatizacion|#whatsapp|#leads|#godreamai|#mitos|#ventas","Tema 15 – Mitos / Automatizar vuelve fría la atención. HOOK STACKED: (1) texto tachado en frame 0: El bot enfría la atención. X roja animada (2) hook verbal contrario (3) Pablo cara a cámara desmontando. Pattern interrupt con el tachado.","cara_camara","[0-1s] HOOK VISUAL: texto grande pantalla fondo negro: El bot enfría la atención. X roja tachándolo animada. / [1-3s] HOOK VERBAL: El bot no enfría la atención. Tu WhatsApp desordenado sí. / [3-15s] AGITACIÓN: Un cliente escribe y espera 4 horas sin respuesta. Eso enfría. Una respuesta automática en 30 segundos que avisa que ya están viendo su consulta: eso calienta. El problema nunca fue la tecnología. Fue la tardanza. / [15-27s] REENCUADRE: El sistema no reemplaza la relación. La protege. El vendedor entra a la conversación cuando el lead ya está con información y esperando hablar. / [27-35s] SISTEMA + CTA: Primero el sistema responde. Después el vendedor convierte. Cada uno hace lo que sabe. Comentá DEMO.","35","","Frame 0: texto Bebas Neue blanco fondo #0a0a0a: EL BOT ENFRÍA LA ATENCIÓN. X roja grande animada encima. Luego corte directo a Pablo cara a cámara."
"carrusel","DOLOR","2026-07-11","borrador","¿De dónde vienen los clientes que cerraron este mes?","Si tardaste más de 10 segundos en responder, ahí está el problema. Sin dato de origen invertís en lo que suena bien, no en lo que funciona.","¿Zonaprop? ¿Instagram? ¿Referido? ¿Tu web? Si no podés responder en 10 segundos estás tomando decisiones de inversión a ciegas.","Un sistema registra el origen de cada consulta automáticamente. Sin que nadie tenga que acordarse de anotarlo. Eso te dice dónde doblar la apuesta y dónde cortar.","¿Sabés cuál es tu canal más rentable? Comentá DEMO.","¿De dónde vienen los clientes que cerraron este mes?\n\nSi no podés responder eso en 10 segundos, estás tomando decisiones a ciegas.\n\nSin dato de origen:\n→ Invertís en lo que suena bien, no en lo que funciona\n→ No sabés dónde cortar gastos\n→ No sabés dónde doblar la apuesta\n\n↳ ¿Sabés cuál es tu canal más rentable? Comentá DEMO.","#inmobiliaria|#inmobiliariasargentina|#datos|#metricas|#canal|#godreamai|#sistemadegestion|#leads","Tema 12 – Datos y métricas / No saber de dónde vienen los clientes. 6 slides. Diseño pregunta-consecuencia. Slide 1 pregunta que incomoda. Slides 2-3 consecuencias de no saber. Slide 4 pregunta de canal (los 4 posibles). Slide 5 solución. Slide 6 CTA.","carrusel_diseno","Slide 1: ¿De dónde vienen los clientes que cerraron este mes? / Slide 2: Si tardaste más de 10 segundos en responder, ahí está el problema. / Slide 3: Sin dato de origen: invertís en lo que suena bien, no en lo que funciona. / Slide 4: ¿Zonaprop? ¿Instagram? ¿Referido? ¿Web propia? ¿No tenés idea? / Slide 5: Un sistema registra el origen de cada consulta automáticamente. Sin que nadie tenga que acordarse de anotarlo. / Slide 6: ¿Sabés cuál es tu canal más rentable? Comentá DEMO.","","","6 slides. Fondo #0a0a0a. Slide 4: íconos de los 4 canales en fila con signo de pregunta. Slide 5: ícono check lima. Slide 6 fondo lima texto negro."
"historia","DOLOR","2026-06-29","borrador","POV: son las 9pm. Un interesado escribió a las 2. Nadie respondió.","","","","¿Te pasa esto? Respondé esta historia.","","#inmobiliaria|#leads|#godreamai","Tema 3 – Seguimiento / Consultas sin responder. 6 stories. Fondo negro y rojo oscuro. Story 3 encuesta nativa IG. Story 6 caja de respuestas abierta. Acompaña el reel del día.","solo_texto","Story 1: Son las 9pm. (fondo negro, texto blanco Bebas Neue grande) / Story 2: Un interesado escribió a las 2. Nadie respondió. (fondo rojo oscuro, texto blanco) / Story 3: ENCUESTA - ¿Cuántas consultas sin responder tenés ahora mismo? [0 a 5 / Más de 5] / Story 4: Sin sistema el seguimiento depende de la memoria. Y la memoria falla siempre. (fondo negro, texto lima) / Story 5: Con un sistema cada consulta queda registrada y asignada automáticamente. (texto + ícono check) / Story 6: CTA - ¿Te pasa esto? Respondé esta historia y te contamos cómo ordenarlo.","","",""
"historia","AUTORIDAD","2026-06-30","borrador","¿Sabés qué pasa cuando tu mejor vendedor se va?","","","","Respondé esta historia si querés ver cómo quedaría en tu inmobiliaria.","","#inmobiliaria|#leads|#godreamai","Tema 7 – CRM / WhatsApp como única fuente de información. 6 stories. Fondo negro y rojo. Story 3 encuesta. Story 5 link al carrusel del feed. Acompaña el carrusel del día.","solo_texto","Story 1: ¿Sabés qué pasa cuando tu mejor vendedor se va? (fondo negro, texto blanco) / Story 2: Se lleva los contactos. Todos. (fondo rojo oscuro, texto blanco grande) / Story 3: ENCUESTA - ¿Tu equipo atiende desde el celular personal? [Sí, siempre / No, tenemos sistema] / Story 4: WhatsApp es una app de mensajes. No un sistema de ventas. (fondo negro, texto lima) / Story 5: Mirá el carrusel de hoy en el feed → te explicamos qué hace la diferencia. / Story 6: CTA - Respondé esta historia si querés ver cómo quedaría en tu inmobiliaria.","","",""
"historia","AUTORIDAD","2026-07-01","borrador","¿Sabés en cuánto tiempo responde tu equipo cuando entra una consulta?","","","","¿Querés ver cómo se vería en tu inmobiliaria? Respondé esta historia.","","#inmobiliaria|#leads|#godreamai","Tema 5 – Automatización / Tiempo de respuesta. 6 stories. Número 917 grande en story 2. Story 3 encuesta. Fondo negro y lima. Acompaña el reel demo del día.","solo_texto","Story 1: ¿Sabés en cuánto tiempo responde tu equipo cuando entra una consulta? (fondo negro) / Story 2: El promedio en Argentina: 917 minutos. Más de 15 horas. (fondo rojo, número 917 enorme) / Story 3: ENCUESTA - ¿Tu equipo responde en menos de 5 minutos? [Sí / Ojalá] / Story 4: El 78% de los compradores elige al primero que responde. El primero. (fondo negro, texto lima) / Story 5: Hoy subimos un reel mostrando cómo funciona → miralo en el feed. / Story 6: CTA - ¿Querés ver cómo quedaría en tu inmobiliaria? Respondé esta historia.","","",""
"historia","DOLOR","2026-07-02","borrador","¿Alguna vez te preguntaste qué pasa con las consultas de tu web?","","","","¿Te pasa esto? Respondé esta historia.","","#inmobiliaria|#leads|#godreamai","Tema 2 – Captación / Formularios sin sistema. 6 stories. Fondo negro y oscuro. Story 3 encuesta de frecuencia. Story 5 link al carrusel. Acompaña el carrusel del día.","solo_texto","Story 1: ¿Alguna vez te preguntaste qué pasa con las consultas de tu web? (fondo negro) / Story 2: La mayoría se pierde antes de que alguien las vea. (fondo oscuro rojo) / Story 3: ENCUESTA - ¿Revisás las consultas de tu web todos los días? [Sí, al toque / A veces / Casi nunca] / Story 4: El lead espera 5 minutos. Si no lo llaman, ya está pensando en otra inmobiliaria. (fondo negro, texto lima) / Story 5: Mirá el carrusel de hoy → lo explicamos paso a paso. / Story 6: CTA - ¿Te pasa esto? Respondé esta historia.","","",""
"historia","OBJECION","2026-07-03","borrador","Te voy a responder la objeción que más escucho.","","","","¿Qué excusa usás vos? Respondé esta historia.","","#inmobiliaria|#leads|#godreamai","Tema 15 – Mitos / Soy chico para tener sistema. 6 stories. Story 2 comillas grandes en fondo rojo. Story 3 encuesta de percepción. Story 6 abierta para respuesta. Acompaña el reel objeción del día.","solo_texto","Story 1: Te voy a responder la objeción que más escucho. (fondo negro) / Story 2: 'Somos chicos, no necesitamos sistema.' (fondo rojo oscuro, comillas grandes) / Story 3: ENCUESTA - ¿Vos pensás que tu inmobiliaria es chica para tener sistema? [Sí / No sé / Ya tengo] / Story 4: Las agencias chicas pierden proporcionalmente MÁS leads. Tienen menos margen para el error. (fondo negro, texto lima) / Story 5: Mirá el reel de hoy → te lo explicamos en 35 segundos. / Story 6: CTA - ¿Qué excusa usás vos? Respondé esta historia.","","",""
"historia","TRANSFORMACION","2026-07-04","borrador","Viernes. Un antes/después que vale la pena ver.","","","","¿En cuál de los dos estás hoy? Respondé esta historia.","","#inmobiliaria|#leads|#godreamai","Tema 1 – Operación / Antes-después visibilidad del dueño. 6 stories. Tono más suave por ser sábado. Story 3 contraste antes-después. Story 4 encuesta de posición actual. Acompaña el carrusel del día.","solo_texto","Story 1: Viernes. Un antes/después que vale la pena ver. (fondo negro, tono calmado) / Story 2: Antes: el dueño no sabe cuántos leads entraron esta semana. (fondo oscuro) / Story 3: Después: abre el panel y lo ve en 30 segundos. Sin preguntar a nadie. (fondo lima oscuro, texto negro) / Story 4: ENCUESTA - ¿En cuál de los dos estás hoy? [Sin sistema / Tengo algo / Sistema completo] / Story 5: Mirá el carrusel de hoy → lo explicamos con detalle. / Story 6: CTA - ¿Querés llegar al después? Respondé esta historia.","","",""
"historia","DOLOR","2026-07-06","borrador","Empezamos la semana con algo incómodo.","","","","¿Te pasó esto antes? Respondé esta historia.","","#inmobiliaria|#leads|#godreamai","Tema 3 – Seguimiento / El vendedor que se va. 6 stories. Fondo negro y rojo. Story 2 pregunta grande impacto. Story 3 encuesta de consecuencias. Acompaña el reel del día.","solo_texto","Story 1: Empezamos la semana con algo incómodo. (fondo negro) / Story 2: ¿Qué pasa cuando tu mejor vendedor se va? (fondo rojo oscuro, texto blanco grande) / Story 3: ENCUESTA - Si un vendedor se va mañana, ¿qué pasa con sus contactos? [Se pierden / Quedan en el sistema / No sé] / Story 4: Si respondiste 'se pierden' o 'no sé', tenemos que hablar. (fondo negro, texto lima) / Story 5: Mirá el reel de hoy → te lo explicamos en 35 segundos. / Story 6: CTA - ¿Te pasó esto antes? Respondé esta historia.","","",""
"historia","AUTORIDAD","2026-07-07","borrador","¿Por dónde se empieza a ordenar una inmobiliaria?","","","","¿Querés que revisemos juntos por dónde empezar? Respondé esta historia.","","#inmobiliaria|#leads|#godreamai","Tema 14 – Madurez digital / Por dónde empezar. 6 stories. Fondo negro y lima. Story 3 encuesta de dolor principal (4 opciones). Story 4 con tip clave. Acompaña el carrusel del día.","solo_texto","Story 1: ¿Por dónde se empieza a ordenar una inmobiliaria? (fondo negro) / Story 2: No es por la app más linda. Es por 3 puntos concretos. (fondo oscuro, texto lima) / Story 3: ENCUESTA - ¿Cuál es tu mayor dolor operativo hoy? [Respuesta lenta / Seguimiento / No sé qué pasa / Datos dispersos] / Story 4: Tip: antes de automatizar hay que tener claro el proceso. Si el proceso es un caos la automatización solo acelera el caos. (fondo negro) / Story 5: Mirá el carrusel de hoy → 3 puntos concretos para empezar. / Story 6: CTA - ¿Querés que revisemos juntos por dónde empezar? Respondé esta historia.","","",""
"historia","AUTORIDAD","2026-07-08","borrador","¿Qué pasa cuando alguien te escribe a las 11pm?","","","","¿Querés ver cómo funciona? Respondé esta historia.","","#inmobiliaria|#leads|#godreamai","Tema 4 – Automatización WhatsApp / Respuesta fuera de horario. 6 stories. Número 62% grande en story 3. Story 4 encuesta situación actual. Acompaña el reel demo del día.","solo_texto","Story 1: ¿Qué pasa cuando alguien te escribe a las 11pm? (fondo negro) / Story 2: En la mayoría de las inmobiliarias: nada. Se pierde. (fondo rojo oscuro) / Story 3: El 62% de las búsquedas inmobiliarias pasan de noche. (fondo negro, número 62% enorme en lima) / Story 4: ENCUESTA - ¿Tu inmobiliaria responde fuera de horario? [Sí, tenemos sistema / No, dependemos de vendedores / A veces] / Story 5: Mirá el reel de hoy → te mostramos cómo funciona la respuesta automática. / Story 6: CTA - ¿Querés ver cómo quedaría en tu inmobiliaria? Respondé esta historia.","","",""
"historia","TRANSFORMACION","2026-07-09","borrador","¿Qué mirás lo primero cuando arrancás el día en tu inmobiliaria?","","","","¿Querés ver cómo se ve ese panel? Respondé esta historia.","","#inmobiliaria|#leads|#godreamai","Tema 8 – Conversión / Visibilidad del dueño. 6 stories. Fondo negro y lima. Story 3 encuesta de herramienta actual. Story 5 link al carrusel. Acompaña el carrusel del día.","solo_texto","Story 1: ¿Qué mirás lo primero cuando arrancás el día en tu inmobiliaria? (fondo negro) / Story 2: ¿WhatsApp? ¿Excel? ¿Nada? (fondo oscuro, texto blanco grande) / Story 3: ENCUESTA - ¿Tenés visibilidad de cuántos leads entraron ayer? [Sí, en tiempo real / Más o menos / No tengo idea] / Story 4: Deberías entrar a un panel y ver todo en 30 segundos. Sin preguntar a nadie. (fondo negro, texto lima) / Story 5: Mirá el carrusel de hoy → te mostramos qué debería ver el dueño cada mañana. / Story 6: CTA - ¿Querés ver cómo se ve ese panel? Respondé esta historia.","","",""
"historia","OBJECION","2026-07-10","borrador","El mito más grande que escucho sobre sistemas automáticos.","","","","¿Cuál objeción te frena a vos? Respondé esta historia.","","#inmobiliaria|#leads|#godreamai","Tema 15 – Mitos / Bot enfría la atención. 6 stories. Story 2 comillas grandes fondo rojo. Story 3 encuesta de percepción. Story 4 contraste de tiempos. Acompaña el reel objeción del día.","solo_texto","Story 1: El mito más grande que escucho sobre sistemas automáticos. (fondo negro) / Story 2: 'Si uso un bot, la atención se vuelve fría.' (fondo rojo oscuro, comillas grandes) / Story 3: ENCUESTA - ¿Vos pensás que la automatización enfría la atención? [Sí, prefiero humano / No, depende cómo se usa / No sé] / Story 4: Esperar 4 horas enfría. Responder en 30 segundos calienta. El bot no es el problema. (fondo negro, texto lima) / Story 5: Mirá el reel de hoy → desmontamos este mito en 35 segundos. / Story 6: CTA - ¿Cuál objeción te frena a vos? Respondé esta historia.","","",""
"historia","DOLOR","2026-07-11","borrador","Última de la semana. Esta duele.","","","","¿Querés saber cuánto te estás perdiendo por no tener este dato? Respondé esta historia.","","#inmobiliaria|#leads|#godreamai","Tema 12 – Datos / Canal de origen. 6 stories. Tono más suave por ser sábado. Story 3 encuesta de claridad de datos. Story 4 consecuencia de no saber. Acompaña el carrusel del día.","solo_texto","Story 1: Última de la semana. Esta duele. (fondo negro, tono calmado) / Story 2: ¿De dónde vienen los clientes que cerraste este mes? (fondo oscuro) / Story 3: ENCUESTA - ¿Sabés cuál es tu canal de origen más rentable? [Sí, lo tengo claro / Más o menos / No tengo idea] / Story 4: Sin ese dato tomás decisiones a ciegas. Y eso cuesta plata. (fondo negro, texto lima) / Story 5: Mirá el carrusel de hoy → te explicamos qué datos debería darte tu sistema. / Story 6: CTA - ¿Querés saber cuánto te estás perdiendo por no tener este dato? Respondé esta historia.","","",""
